Id,Name,Link
0,Транспорт,https://www.avito.ru/saratov/transport
1,Недвижимость,https://www.avito.ru/saratov/nedvizhimost
2,Работа,https://www.avito.ru/saratov/rabota
3,Услуги,https://www.avito.ru/saratov/predlozheniya_uslug
4,Личные вещи,https://www.avito.ru/saratov/lichnye_veschi
5,Для дома и дачи,https://www.avito.ru/saratov/dlya_doma_i_dachi
6,Запчасти и аксессуары,https://www.avito.ru/saratov/zapchasti_i_aksessuary
7,Электроника,https://www.avito.ru/saratov/bytovaya_elektronika
8,Хобби и отдых,https://www.avito.ru/saratov/hobbi_i_otdyh
9,Животные,https://www.avito.ru/saratov/zhivotnye
10,Бизнес и оборудование,https://www.avito.ru/saratov/dlya_biznesa
11,Молл,https://www.avito.ru/all/mall?from_page=rubricator
